VIN,接收时间,报文时间,报文内容,
LDP53A930HC108980,2019/10/26 15:29,2019/10/26 15:29,232302fe4c4450353341393330484331303839383001008d130a1a0f1d26010103010000000383f500d2272a090100d80c0000020101043d4e204e203702e927100500072d85f801e172cc0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000063,232302
LDP53A930HC108980,2019/10/26 15:30,2019/10/26 15:30,232302fe4c4450353341393330484331303839383001008d130a1a0f1e03010103010000000383f500d2272c090100db7c0000020101043d4e204e203702e927100500072d85f801e172cc0601021068010910680101d20102000700000000000000000008010100d2272c001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000036,232302
LDP53A930HC108980,2019/10/26 15:30,2019/10/26 15:30,232302fe4c4450353341393330484331303839383001008d130a1a0f1e1c010103010000000383f500d2272b090100c4eb0000020101043d4e204e203702e927100500072d85e801e172c80601021068010810680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b4,232302
LDP53A930HC108980,2019/10/26 15:30,2019/10/26 15:30,232302fe4c4450353341393330484331303839383001008d130a1a0f1e35010103010000000383f500d2272a090100d0770000020101043d4e204e203702e927100500072d85e801e172c40601021068010210680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000013,232302
LDP53A930HC108980,2019/10/26 15:31,2019/10/26 15:31,232302fe4c4450353341393330484331303839383001008d130a1a0f1f12010103010000000383f500d2272a090100cd390000020101043d4e204e203702e927100500072d85e801e172b40601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000001d,232302
LDP53A930HC108980,2019/10/26 15:31,2019/10/26 15:31,232302fe4c4450353341393330484331303839383001008d130a1a0f1f2b010103010000000383f500d2272c090100e5590000020101043d4e204e203702e927100500072d85e001e172ac0601021068010410680101d20102000700000000000000000008010100d2272c001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000071,232302
LDP53A930HC108980,2019/10/26 15:32,2019/10/26 15:32,232302fe4c4450353341393330484331303839383001008d130a1a0f2008010103010000000383f500d2272b090100e5590000020101043d4e204e203702e927100500072d85d801e172a00601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000054,232302
LDP53A930HC108980,2019/10/26 15:32,2019/10/26 15:32,232302fe4c4450353341393330484331303839383001008d130a1a0f2021010103010000000383f500d2272a090100d61e0000020101043d4e204e203702e927100500072d85d001e1729c0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000003d,232302
LDP53A930HC108980,2019/10/26 15:33,2019/10/26 15:32,232302fe4c4450353341393330484331303839383001008d130a1a0f203a010103010000000383f500d2272a090100e45b0000020101043d4e204e203702e927100500072d85c801e1729c0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000049,232302
LDP53A930HC108980,2019/10/26 15:33,2019/10/26 15:33,232302fe4c4450353341393330484331303839383001008d130a1a0f2117010103010000000383f500d2272a090100d6fe0000020101043d4e204e203702e927100500072d85c801e1729c0601021068010810680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000f3,232302
LDP53A930HC108980,2019/10/26 15:33,2019/10/26 15:33,232302fe4c4450353341393330484331303839383001008d130a1a0f2130010103010000000383f500d2272b090100e7e20000020101043d4e204e203702e927100500072d85c801e1729a0601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000fe,232302
LDP53A930HC108980,2019/10/26 15:34,2019/10/26 15:34,232302fe4c4450353341393330484331303839383001008d130a1a0f220d010103010000000383f500d2272b090100e9fe0000020101043d4e204e203702e927100500072d85c001e172980601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000d8,232302
LDP53A930HC108980,2019/10/26 15:34,2019/10/26 15:34,232302fe4c4450353341393330484331303839383001008d130a1a0f2226010103010000000383f500d2272c090100b92a0000020101043d4e204e203702e927100500072d85b801e172a00601021068010910680101d20102000700000000000000000008010100d2272c001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000037,232302
LDP53A930HC108980,2019/10/26 15:35,2019/10/26 15:35,232302fe4c4450353341393330484331303839383001008d130a1a0f2303010103010000000383f500d2272a090100d3780000020101043d4e204e203702e927100500072d85b801e172a00601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000002b,232302
LDP53A930HC108980,2019/10/26 15:35,2019/10/26 15:35,232302fe4c4450353341393330484331303839383001008d130a1a0f231c010103010000000383f500d2272a090100dea00000020101043d4e204e203702e927100500072d85c001e1728c0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b5,232302
LDP53A930HC108980,2019/10/26 15:35,2019/10/26 15:35,232302fe4c4450353341393330484331303839383001008d130a1a0f2335010103010000000383f500d2272b090100e9fe0000020101043d4e204e203702e927100500072d85c801e1729c0601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000ed,232302
LDP53A930HC108980,2019/10/26 15:36,2019/10/26 15:36,232302fe4c4450353341393330484331303839383001008d130a1a0f2412010103010000000383f500d2272a090100d5230000020101043d4e204e203702e927100500072d85c801e1729c0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000002c,232302
LDP53A930HC108980,2019/10/26 15:36,2019/10/26 15:36,232302fe4c4450353341393330484331303839383001008d130a1a0f242b010103010000000383f500d2272a090100e9ff0000020101043d4e204e203702e927100500072d85c801e1729c0601021068010810680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000f4,232302
LDP53A930HC108980,2019/10/26 15:37,2019/10/26 15:37,232302fe4c4450353341393330484331303839383001008d130a1a0f2508010103010000000383f500d2272a090100d8640000020101043d4e204e203702e927100500072d85c801e1729a0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000007b,232302
LDP53A930HC108980,2019/10/26 15:37,2019/10/26 15:37,232302fe4c4450353341393330484331303839383001008d130a1a0f2521010103010000000383f500d2272a090100d7bf0000020101043d4e204e203702e827100500072d85b801e172840601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000e9,232302
LDP53A930HC108980,2019/10/26 15:38,2019/10/26 15:37,232302fe4c4450353341393330484331303839383001008d130a1a0f253a010103010000000383f500d2272a090100d9480000020101043d4e204e203702e827100500072d85b801e172820601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000000d,232302
LDP53A930HC108980,2019/10/26 15:38,2019/10/26 15:38,232302fe4c4450353341393330484331303839383001008d130a1a0f2617010103010000000383f500d2272a090100ea030000020101043d4e204e203702e827100500072d85c001e1727c0601021068010210680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000d6,232302
LDP53A930HC108980,2019/10/26 15:38,2019/10/26 15:38,232302fe4c4450353341393330484331303839383001008d130a1a0f2630010103010000000383f500d2272a090100d9370000020101043d4e204e203702e827100500072d85c001e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000f7,232302
LDP53A930HC108980,2019/10/26 15:39,2019/10/26 15:39,232302fe4c4450353341393330484331303839383001008d130a1a0f270d010103010000000383f500d2272b090100be4e0000020101043d4e204e203702e827100500072d85c001e172760601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000d5,232302
LDP53A930HC108980,2019/10/26 15:39,2019/10/26 15:39,232302fe4c4450353341393330484331303839383001008d130a1a0f2726010103010000000383f500d2272a090100ea000000020101043d4e204e203702e827100500072d85c001e172760601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000e4,232302
LDP53A930HC108980,2019/10/26 15:40,2019/10/26 15:40,232302fe4c4450353341393330484331303839383001008d130a1a0f2803010103010000000383f500d2272a090100d92c0000020101043d4e204e203702e827100500072d85b801e172680601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b7,232302
LDP53A930HC108980,2019/10/26 15:40,2019/10/26 15:40,232302fe4c4450353341393330484331303839383001008d130a1a0f281c010103010000000383f500d2272b090100d6b20000020101043d4e204e203702e827100500072d85c001e172600601021068010910680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000049,232302
LDP53A930HC108980,2019/10/26 15:40,2019/10/26 15:40,232302fe4c4450353341393330484331303839383001008d130a1a0f2835010103010000000383f500d22729090100dba90000020101043d4e204e203702e827100500072d85c001e1724c0601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000005b,232302
LDP53A930HC108980,2019/10/26 15:41,2019/10/26 15:41,232302fe4c4450353341393330484331303839383001008d130a1a0f2912010103010000000383f500d2272a090100ea040000020101043d4e204e203702e827100500072d85c001e172480601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000e4,232302
LDP53A930HC108980,2019/10/26 15:41,2019/10/26 15:41,232302fe4c4450353341393330484331303839383001008d130a1a0f292b010103010000000383f500d2272a090100d4cd0000020101043d4e204e203702e827100500072d85b801e1722e0601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000034,232302
LDP53A930HC108980,2019/10/26 15:42,2019/10/26 15:42,232302fe4c4450353341393330484331303839383001008d130a1a0f2a08010103010000000383f500d22729090100ea080000020101043d4e204e203702e827100500072d85a801e172180601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000c8,232302
LDP53A930HC108980,2019/10/26 15:42,2019/10/26 15:42,232302fe4c4450353341393330484331303839383001008d130a1a0f2a21010103010000000383f500d22729090100c9800000020101043d4e204e203702e827100500072d85a801e1720a0601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000059,232302
LDP53A930HC108980,2019/10/26 15:42,2019/10/26 15:42,232302fe4c4450353341393330484331303839383001008d130a1a0f2a3a010103010000000383f500d22729090100d3270000020101043d4e204e203702e827100500072d85b001e171f60601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000018,232302
LDP53A930HC108980,2019/10/26 15:43,2019/10/26 15:43,232302fe4c4450353341393330484331303839383001008d130a1a0f2b17010103010000000383f500d22729090100e9ff0000020101043d4e204e203702e827100500072d85c001e171f80601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000a8,232302
LDP53A930HC108980,2019/10/26 15:43,2019/10/26 15:43,232302fe4c4450353341393330484331303839383001008d130a1a0f2b30010103010000000383f500d2272a090100c7530000020101043d4e204e203702e827100500072d85b801e171e80601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000065,232302
